L,m,dps_assembly,dps_solve,lam_min,assembly_s,solve_s,total_s,finished_utc,tag
4.6,112,75,65,2.21244243515e-42,361.2,14.0,375.2,2026-07-26T16:16:42Z,calibration+rung
4.75,128,75,65,1.48804095715e-46,1017.8,35.8,1053.6,2026-07-26T16:35:15Z,rung
4.5,128,75,65,8.97318032944e-41,1053.1,47.5,1100.6,2026-07-26T16:35:59Z,refine
4.25,128,75,65,5.4302903216e-35,1079.6,84.2,1163.8,2026-07-26T16:37:01Z,refine
4.6,128,75,65,3.07691562325e-43,990.2,97.6,1087.8,2026-07-26T16:53:23Z,ladder-extra
4.6,144,75,65,2.36393439918e-43,1515.1,94.8,1609.9,2026-07-26T17:02:49Z,rung
4.5,144,75,65,8.13421925362e-41,1639.0,59.5,1698.5,2026-07-26T17:05:19Z,refine
4.025,96,50,40,2.08877070532e-30,712.7,16.4,729.1,2026-07-26T17:05:32Z,old-ladder
4.025,112,50,40,2.02698846492e-30,560.0,23.0,582.9,2026-07-26T17:24:09Z,old-ladder
3.555,96,50,40,2.1399592787e-22,340.5,11.9,352.3,2026-07-26T17:30:01Z,old-ladder
4.75,144,75,65,2.04044762883e-47,1071.4,43.8,1115.2,2026-07-26T17:32:58Z,rung-restart
3.555,112,50,40,2.12668062431e-22,456.6,18.1,474.7,2026-07-26T17:37:56Z,old-ladder
4.75,160,75,65,1.86366090828e-47,1344.4,73.5,1417.9,2026-07-26T17:38:02Z,rung-restart
4.25,144,75,65,5.25889827219e-35,734.7,40.3,775.0,2026-07-26T17:45:53Z,ladder-extra
5.0,176,90,80,7.00751342349e-55,1073.0,73.2,1146.1,2026-07-26T17:57:02Z,stretch
5.0,144,90,80,2.94132035712e-53,677.6,39.7,717.2,2026-07-26T17:57:50Z,stretch
4.5,160,75,65,7.92448858514e-41,1901.9,55.1,1957.0,2026-07-26T18:10:39Z,ladder-extra
4.25,160,75,65,5.23316053313e-35,869.1,58.3,927.4,2026-07-26T18:30:00Z,plateau-check
5.5,152,100,90,1.98537547115e-64,823.9,49.3,873.2,2026-07-26T18:30:22Z,addendum
5.0,160,90,80,1.77657079904e-54,1363.2,69.0,1432.2,2026-07-26T18:39:39Z,stretch
4.6,160,75,65,2.17139835976e-43,1003.2,51.2,1054.5,2026-07-26T18:47:34Z,plateau-check
5.5,168,100,90,1.4413990224e-67,925.3,59.1,984.4,2026-07-26T18:56:04Z,addendum
5.5,184,100,90,4.29586487391e-69,1612.9,64.5,1677.4,2026-07-26T18:58:20Z,addendum
