u,x,lnF
2.2250000000,-0.1500000000,-30.8316281371
2.2260006254,-0.1489993746,-30.8915494396
2.2270012508,-0.1479987492,-30.9562263419
2.2280018762,-0.1469981238,-31.0259083188
2.2290025016,-0.1459974984,-31.1009043753
2.2300031270,-0.1449968730,-31.1815954085
2.2310037523,-0.1439962477,-31.2684509993
2.2320043777,-0.1429956223,-31.3620524689
2.2330050031,-0.1419949969,-31.4631250361
2.2340056285,-0.1409943715,-31.5725835801
2.2350062539,-0.1399937461,-31.6915993961
2.2360068793,-0.1389931207,-31.8217005250
2.2370075047,-0.1379924953,-31.9649280779
2.2380081301,-0.1369918699,-32.1240907084
2.2390087555,-0.1359912445,-32.3032018669
2.2400093809,-0.1349906191,-32.5082842264
2.2410100063,-0.1339899937,-32.7489875476
2.2420106316,-0.1329893684,-33.0422641068
2.2430112570,-0.1319887430,-33.4223528545
2.2440118824,-0.1309881176,-33.9772775905
2.2450125078,-0.1299874922,-35.1094388749
2.2460131332,-0.1289868668,-35.2115161991
2.2470137586,-0.1279862414,-34.1511307086
2.2480143840,-0.1269856160,-33.6948478298
2.2490150094,-0.1259849906,-33.4177993165
2.2500156348,-0.1249843652,-33.2297019425
2.2510162602,-0.1239837398,-33.0959124188
2.2520168856,-0.1229831144,-32.9995249469
2.2530175109,-0.1219824891,-32.9311138070
2.2540181363,-0.1209818637,-32.8849862624
2.2550187617,-0.1199812383,-32.8575487276
2.2560193871,-0.1189806129,-32.8465085238
2.2570200125,-0.1179799875,-32.8504564313
2.2580206379,-0.1169793621,-32.8686450943
2.2590212633,-0.1159787367,-32.9008823166
2.2600218887,-0.1149781113,-32.9475050559
2.2610225141,-0.1139774859,-33.0094262942
2.2620231395,-0.1129768605,-33.0882690448
2.2630237649,-0.1119762351,-33.1866317630
2.2640243902,-0.1109756098,-33.3085869257
2.2650250156,-0.1099749844,-33.4606484225
2.2660256410,-0.1089743590,-33.6538058490
2.2670262664,-0.1079737336,-33.9083894734
2.2680268918,-0.1069731082,-34.2683133274
2.2690275172,-0.1059724828,-34.8609004141
2.2700281426,-0.1049718574,-36.6159169809
2.2710287680,-0.1039712320,-35.2670876569
2.2720293934,-0.1029706066,-34.4480680239
2.2730300188,-0.1019699812,-34.0039690352
2.2740306442,-0.1009693558,-33.6992889175
2.2750312695,-0.0999687305,-33.4688004362
2.2760318949,-0.0989681051,-33.2848927302
2.2770325203,-0.0979674797,-33.1332455585
2.2780331457,-0.0969668543,-33.0054581341
2.2790337711,-0.0959662289,-32.8961727400
2.2800343965,-0.0949656035,-32.8017587679
2.2810350219,-0.0939649781,-32.7196399698
2.2820356473,-0.0929643527,-32.6479209596
2.2830362727,-0.0919637273,-32.5851661526
2.2840368981,-0.0909631019,-32.5302620581
2.2850375235,-0.0899624765,-32.4823278203
2.2860381488,-0.0889618512,-32.4406550338
