model,dimension,radius,shift_reference,shift_target,reference_phase,root_count,best_target_phase,required_phase_chord_diameter,phase_velocity_range,phase_velocity_std,rms_normalized_residual,max_normalized_residual,nearest_root_rms,nearest_root_max,reference_root_min,reference_root_max
scalar-control,6,0.75,0,-1,0.37,11,3.700000000000e-01,2.505033436584e-13,6.139656906579e-16,1.737756222256e-16,3.553350767991e-14,1.123132523188e-13,9.726803854843e-15,1.065814103640e-14,-2.078622678083e+01,2.110171168613e+01
dirichlet-energy,6,0.75,0,-1,0.37,11,3.371774246103e-01,4.554036195037e-01,5.319737113164e-01,1.306735313943e-01,5.653203154731e-02,1.201187974122e-01,2.453542983042e-02,5.011313458240e-02,-2.298899828705e+01,2.311867018912e+01
completed-Weil-L1.75,6,0.4375,0,-0.25,0.37,9,3.034016044138e+00,1.996563145129e+00,5.574699208908e+03,1.972891361507e+03,5.222131725321e-01,9.695777341464e-01,3.407325909768e+00,6.120508016010e+00,-3.930733532082e+01,3.920172347531e+01
completed-Weil-safe-L1.75,6,0.4375,-0.05,-0.25,0.37,11,6.691574063122e-01,1.998238936114e+00,9.749452352826e+01,3.004122537328e+01,5.878852018607e-01,9.934629365936e-01,1.291025048987e+00,2.831170500341e+00,-3.644687242084e+01,3.669099288899e+01
scalar-control,8,0.75,0,-1,0.37,11,3.700000000000e-01,2.546650521769e-13,4.065377404213e-16,1.259949821992e-16,3.586979146703e-14,1.133544054591e-13,9.439897138515e-15,1.065814103640e-14,-2.078620892298e+01,2.110169320446e+01
dirichlet-energy,8,0.75,0,-1,0.37,11,3.372817824731e-01,4.606040739184e-01,5.380966330820e-01,1.404725695966e-01,6.089903725526e-02,1.215984414548e-01,2.627533276720e-02,5.068320473919e-02,-2.298633603856e+01,2.312292873092e+01
completed-Weil-L1.75,8,0.4375,0,-0.25,0.37,10,3.019416985464e+00,1.997271361671e+00,1.175040751368e+05,3.671812231710e+04,3.305052401110e-01,9.676036124932e-01,2.062210615295e+00,5.051039067947e+00,-3.934505335084e+01,3.935930166501e+01
completed-Weil-safe-L1.75,8,0.4375,-0.05,-0.25,0.37,11,4.185406955391e-01,1.999958944743e+00,9.615727548900e+01,2.643837396726e+01,6.119108232513e-01,9.674528223983e-01,1.214275610351e+00,2.841527448604e+00,-3.739858397441e+01,3.758804245018e+01
scalar-control,10,0.75,0,-1,0.37,11,3.700000000000e-01,2.527510680854e-13,3.327372784448e-16,9.810844041338e-17,3.583767650594e-14,1.132798636874e-13,9.669205437636e-15,1.065814103640e-14,-2.078620887930e+01,2.110169316846e+01
dirichlet-energy,10,0.75,0,-1,0.37,11,3.372431851963e-01,4.625651691970e-01,5.404012840950e-01,1.461294764080e-01,6.343021190340e-02,1.221139498355e-01,2.727244696159e-02,5.086820472797e-02,-2.298066399194e+01,2.313148672549e+01
completed-Weil-L1.75,10,0.4375,0,-0.25,0.37,11,3.097580267774e+00,1.997420133370e+00,1.727980003044e+05,4.826092883355e+04,3.476265657698e-01,9.767190036985e-01,2.768352265457e+00,5.909637192628e+00,-3.898767034411e+01,3.900094024241e+01
completed-Weil-safe-L1.75,10,0.4375,-0.05,-0.25,0.37,11,4.489259807046e-01,1.999953306019e+00,9.611830221226e+01,2.609687426175e+01,6.106690292718e-01,9.710648892368e-01,1.210759626684e+00,2.819168857547e+00,-3.737217104175e+01,3.762947393579e+01
scalar-control,12,0.75,0,-1,0.37,11,3.700000000000e-01,2.511182141383e-13,4.250858251605e-16,1.247500534443e-16,3.567871414867e-14,1.127871385612e-13,9.531976788475e-15,1.065814103640e-14,-2.078620887935e+01,2.110169316852e+01
dirichlet-energy,12,0.75,0,-1,0.37,11,3.371628223303e-01,4.634677855891e-01,5.414608586949e-01,1.497883995051e-01,6.507081576209e-02,1.223190765397e-01,2.791411293129e-02,5.093640843791e-02,-2.288135732481e+01,2.301963238657e+01
completed-Weil-L1.75,12,0.4375,0,-0.25,0.37,10,3.015912985369e+00,1.998826694019e+00,1.412264027436e+05,4.369274894977e+04,3.358974734025e-01,9.671462162892e-01,3.064011108247e+00,6.689683215908e+00,-3.948008805093e+01,3.948942767927e+01
completed-Weil-safe-L1.75,12,0.4375,-0.05,-0.25,0.37,11,4.327337071019e-01,1.999563094737e+00,9.598004997970e+01,2.620118919797e+01,6.245117306474e-01,9.688133943094e-01,1.213038645412e+00,2.823672788838e+00,-3.755409576095e+01,3.781113504852e+01
completed-Weil-safe-phase-pi-L1.75,6,0.4375,-0.05,-0.25,3.14159265359,10,3.141592653590e+00,7.309753958947e-01,9.785005330766e+00,3.666715929703e+00,1.418666062573e-01,1.859890182651e-01,8.083241586782e-01,9.817501881663e-01,-3.447844410556e+01,3.447844410556e+01
completed-Weil-safe-phase-pi-L1.75,8,0.4375,-0.05,-0.25,3.14159265359,10,3.141592653590e+00,9.479335641380e-01,1.160498716512e+01,3.594820865753e+00,1.553640796625e-01,2.443944307868e-01,9.370592974361e-01,1.208892327416e+00,-3.463594184007e+01,3.463594184007e+01
completed-Weil-safe-phase-pi-L1.75,10,0.4375,-0.05,-0.25,3.14159265359,10,3.141592653590e+00,9.741418678260e-01,1.234097873077e+01,3.576344236782e+00,1.522902708398e-01,2.516322579550e-01,9.179642880864e-01,1.246573816764e+00,-3.406662831717e+01,3.406662831717e+01
completed-Weil-safe-phase-pi-L1.75,12,0.4375,-0.05,-0.25,3.14159265359,10,3.141592653590e+00,9.729524234835e-01,1.228026564704e+01,3.565472091908e+00,1.523925473085e-01,2.513027830500e-01,9.330738774224e-01,1.346354293462e+00,-3.405083970828e+01,3.405083970828e+01
