support,dimension,lambda_min,max_eigenstate_commutator_diagonal,commutator_trace,kappa_critical,whitened_min,whitened_max
1.750,12,3.248355894e-05,3.816391647e-17,0.000000000e+00,1.134063013e+00,-1.134063013e+00,1.140571521e+00
1.750,16,3.189718858e-05,2.081668171e-17,0.000000000e+00,1.142011041e+00,-1.142011041e+00,1.147870306e+00
1.750,20,3.177913041e-05,3.122502257e-17,0.000000000e+00,1.144031136e+00,-1.144031136e+00,1.149466718e+00
1.750,24,3.160431575e-05,3.816391647e-17,0.000000000e+00,1.146961808e+00,-1.146961808e+00,1.152501563e+00
2.485,12,7.530799372e-08,7.632783294e-17,0.000000000e+00,1.524142586e+01,-1.524142586e+01,1.526085378e+01
2.485,16,4.467657307e-09,4.683753385e-17,0.000000000e+00,8.336964364e+01,-8.336964364e+01,8.338737398e+01
2.485,20,5.923865513e-10,9.540979118e-17,0.000000000e+00,2.416598309e+02,-2.416598309e+02,2.416739891e+02
2.485,24,3.868813897e-10,8.413408858e-17,0.000000000e+00,2.994707391e+02,-2.994707391e+02,2.994845300e+02
3.270,12,5.827736817e-09,1.665334537e-16,0.000000000e+00,1.897076514e+01,-1.897076514e+01,1.900828837e+01
3.270,16,5.531341724e-11,2.012279232e-16,0.000000000e+00,4.580305616e+02,-4.580305616e+02,4.580508219e+02
3.270,20,1.394650070e-12,1.495114796e-16,0.000000000e+00,2.274636635e+03,-2.274636635e+03,2.274651864e+03
3.270,24,1.806056661e-14,1.925543058e-16,0.000000000e+00,3.416406944e+04,-3.416406944e+04,3.416408393e+04
3.400,12,1.794441949e-09,4.033232082e-17,0.000000000e+00,3.340769744e+01,-3.340769744e+01,3.342585521e+01
3.400,16,2.766969621e-11,1.318389842e-16,0.000000000e+00,4.444792731e+02,-4.444792731e+02,4.444896719e+02
3.400,20,2.182794568e-13,1.593777194e-16,0.000000000e+00,5.339371392e+03,-5.339371392e+03,5.339396527e+03
3.400,24,5.054965856e-15,3.885780586e-16,0.000000000e+00,5.812392333e+04,-5.812392333e+04,5.812394749e+04
